#,Palavra,Pronúncia,Tradução,Contexto
267,important,impórtant,importante,It’s important to stay hydrated.
268,father,fádher,pai,His father taught him how to ride a bike.
269,to sit,sêt,sentar,She decided to sit by the window.
270,away,auêi,longe,They are going away for the weekend.
271,until,ântil,até,He waited until she arrived.
272,power,páuer,"poder, força",The storm caused a power outage.
273,hour,áuer,hora,They talked for over an hour.
274,game,gueim,"jogo, brincadeira",They enjoyed playing a board game.
275,often,ófen,frequentemente,She often goes for a walk in the morning.
276,yet,iét,ainda,He hasn't finished his homework yet.
277,line,láin,"linha, fila",She waited in line for her coffee.
278,political,polítical,político,They had a political discussion at the dinner table.
279,end,énd,"fim, término",The movie had a surprising end.
280,among,âmâng,"entre, dentre",The secret was shared among friends.
281,ever,éver,"nunca, já",Have you ever been to Paris?
282,to stand,sténd,ficar em pé,She decided to stand instead of sitting.
283,bad,béde,"ruim, mal",The weather was bad yesterday.
284,to lose,lúz,perder,He didn't want to lose his keys again.
285,however,hauéver,"contudo, porém, entretanto","However, he decided to stay home."
286,member,mémber,membro,She is a member of the book club.
287,to pay,pêi,pagar,He needs to pay his bills.
288,law,ló,lei,She is studying law at university.
289,to meet,mít,"conhecer, encontrar",They agreed to meet at the café.
290,car,cár,carro,He bought a new car last month.
291,city,síti,cidade,She loves the energy of the city.
292,almost,ólmoust,quase,She is almost done with her project.
293,to include,incluúd,incluir,Don’t forget to include your signature.
294,to continue,continíu,"continuar, insistir",They plan to continue their journey tomorrow.
295,to set,sét,"pôr, colocar",She set the table for dinner.
296,later,leiter,depois,I'll call you later.
297,community,comiúneti,comunidade,The community came together to clean the park.
298,much,mâtch,muito,She doesn't have much time to relax.
299,name,nêim,nome,Her name is Emily.
300,five,fáiv,cinco,There are five apples in the basket.
301,once,uâns,uma vez,She visits her grandparents once a month.
302,white,uáit,branco,She wore a white dress to the wedding.
303,least,líst,o menos,At least we tried our best.
304,president,président,presidente,The president gave a speech last night.
305,to learn,lârni,aprender,She wants to learn a new language.
306,real,ríal,real,It was hard to believe the story was real.
307,to change,tchêindj,"trocar, mudar, alterar",He wants to change his career.
308,team,tím,"time, equipe",The team worked well together.
309,minute,mínit,minuto,She will be here in a minute.
310,best,bést,o melhor,She is my best friend.
311,several,séveral,"vários, alguns",She has visited several countries.
312,idea,aidía,ideia,He has a great idea for a new project.
313,kid,kíd,"garoto, criança, moleque",The kid was excited about the new toy.
314,body,bádi,corpo,She takes good care of her body.
315,information,infórmation,informação,She found the information she needed online.
316,nothing,náthing,nada,There is nothing to worry about.
317,ago,agôu,há…tempo,They moved here five years ago.
318,right,ráit,direito,She knew the right answer.
319,to lead,líd,"liderar, guiar",He was chosen to lead the team.
320,social,sôxal,social,She is very active on social media.
321,to understand,andersténd,"compreender, entender",He tried to understand the instructions.
322,whether,uédher,se,She didn’t know whether to laugh or cry.
323,back,béc,costas,He came back from his trip last night.
324,to watch,uótch,"assistir, olhar",She likes to watch movies on the weekend.
325,together,tugéder,junto,They worked together on the project.
326,to follow,fôlou,"seguir, perseguir",She decided to follow the path through the forest.
327,around,aráund,"por volta de, aproximadamente",They looked around the store for a gift.
328,parent,péren,pai,Her parent attended the school meeting.
329,only,ôunli,único,She was the only one who knew the answer.
330,to stop,stóp,"parar, terminar",She decided to stop smoking.
331,face,fêis,"face, cara",She had a worried look on her face.
332,anything,énithing,qualquer coisa,Is there anything I can help you with?
333,to create,criêit,criar,She loves to create art in her free time.
334,public,públic,público,The public library is open to everyone.
335,already,alrédi,já,She has already finished her homework.
336,to speak,spík,"falar, dizer",She was nervous to speak in front of the class.
337,others,âders,outros,She always thinks of others before herself.
338,to read,ríd,ler,He likes to read before going to bed.
339,level,lévol,nível,She reached a new level in the game.
340,to allow,aláu,permitir,The school doesn't allow phones in class.
341,to add,éd,adicionar,Don't forget to add the sugar.
342,office,ófis,escritório,She decorated her office with plants.
343,to spend,spénd,"gastar, passar…tempo",They decided to spend the day at the beach.
344,door,dôur,porta,She knocked on the door before entering.
345,health,hélth,saúde,She is concerned about her health.
346,person,pérson,pessoa,He is a very kind person.
347,art,art,arte,She loves modern art.
348,sure,xôur,certo,Are you sure about that?
349,such,sâtch,tão,She is such a talented singer.
350,war,uór,guerra,The war lasted for several years.
351,history,hístory,história,She is studying history at university.
352,party,párti,festa,They are throwing a party this weekend.
353,within,uídin,dentro,She will arrive within the hour.
354,to grow,grôu,crescer,The company plans to grow its business.
355,result,rízalt,resultado,The result of the test was positive.
356,to open,ôupen,abrir,She decided to open a bakery.
357,change,tchêindj,"trocar, mudar, alterar",He made a big change in his life.
358,morning,,manhã,She enjoys jogging in the morning.
359,to walk,,"andar, caminhar",They love to walk by the beach.
360,reason,,"razão, motivo",She gave a valid reason for her absence.
361,low,,baixo,The river was at a low level.
362,to win,,"ganhar, vencer",He hopes to win the competition.
363,research,,pesquisa,She is conducting research on climate change.
364,girl,,"menina, moça",The girl was playing in the garden.
365,guy,,"menino, moço",That guy is really funny.
366,early,,cedo,They arrived early to get good seats.
367,food,,"comida, alimento",She cooked delicious food for dinner.
368,before,,antes,She finished her homework before dinner.
369,moment,,momento,He paused for a moment to think.
370,himself,,"se, ele mesmo",He prepared the meal himself.
371,air,,ar,The air is fresh in the mountains.
372,teacher,,professor,
373,force,,força,
374,to offer,,oferecer,
375,enough,,bastante,
376,both,,ambos,
377,education,,educação,
378,across,,"através de, do outro lado",
379,although,,embora,
380,to remember,,lembrar,
381,foot,,pé,
382,second,,segundo,
383,boy,,menino,
384,maybe,,"talvez, possivelmente",
385,toward,,em direção a,
386,able,,capaz,
387,age,,idade,
388,off,,"fora, fora de",
389,policy,,política,
390,everything,,tudo,
391,to love,,amar,
392,process,,processo,
393,music,,música,
394,including,,incluindo,
395,to consider,,considerar,
396,to appear,,"aparecer, surgir",
397,actually,,na verdade,
398,to buy,,comprar,
399,probably,,provavelmente,
400,human,,humano,
401,to wait,,esperar,
402,to serve,,servir,
403,market,,mercado,
404,to die,,morrer,
405,to send,,mandar,
406,to expect,,esperar,
407,home,,casa,
408,sense,,sentido,
409,to build,,construir,
410,to stay,,ficar,
411,to fall,,cair,
412,oh,,oh,
413,nation,,nação,
414,plan,,plano,
415,to cut,,cortar,
416,college,,universidade,
417,interest,,interesse,
418,death,,morte,
419,course,,curso,
420,someone,,alguém,
421,experience,,experiência,
422,behind,,atrás,
423,to reach,,alcançar,
424,local,,local,
425,to kill,,matar,
426,six,,seis,
427,to remain,,"ficar, permanecer",
428,effect,,efeito,
429,use,,uso,
430,yeah,,sim,
431,to suggest,,sugerir,
432,class,,"classe, aula",
433,control,,controle,
434,to raise,,"levantar, elevar, aumentar",
435,care,,cuidado,
436,perhaps,,talvez,
437,little,,pouco,
438,late,,"atrasado, tarde",
439,hard,,"duro, difícil",
440,field,,campo,
441,else,,outro,
442,to pass,,"passar, aprovar",
443,former,,"antigo, anterior",
444,to sell,,vender,
445,major,,"maior, principal",
446,sometimes,,algumas vezes,
447,to require,,"requerer, exigir",
448,along,,ao longo de,
449,development,,desenvolvimento,
450,themselves,,eles mesmos,
451,to report,,"reportar, relatar",
452,role,,papel,
453,better,,melhor que,
454,economic,,económico,
455,effort,,esforço,
456,up,,para cima,
457,to decide,,decidir,
458,rate,,"taxa, proporção",
459,strong,,forte,
460,possible,,possível,
461,heart,,coração,
462,drug,,droga,
463,show,,"show, performance",
464,leader,,líder,
465,light,,luz,
466,voice,,voz,
467,wife,,"esposa, mulher",
468,whole,,"inteiro, completo",
469,police,,polícia,
470,mind,,mente,
471,finally,,finalmente,
472,to pull,,puxar,
473,to return,,"voltar, devolver",
474,free,,"livre, gratis",
475,military,,militar,
476,price,,preço,
477,report,,relatório,
478,less,,menos,
479,according,,de acordo com,
480,decision,,decisão,
481,to explain,,explicar,
482,son,,filho,
483,to hope,,esperar,
484,even,,mesmo,
485,to develop,,desenvolver,
486,view,,vista,
487,relationship,,"relação, relacionamento",
488,to carry,,carregar,
489,town,,"cidade, vila",
490,road,,"estrada, rua",
491,to drive,,"dirigir, pilotar",
492,arm,,braço,
493,TRUE,,"verdade, verdadeiro",
494,federal,,federal,
495,to break,,quebrar,
496,better,,melhor que,
497,difference,,diferencia,
498,to thank,,agradecer,
499,to receive,,receber,
500,value,,valor,
501,international,,internacional,
502,building,,prédio,
503,action,,ação,
504,full,,cheio,
505,model,,modelo,
506,to join,,"juntar, unir",
507,season,,estação,
508,society,,sociedade,
509,because,,porque,
510,tax,,"taxa, imposto",
511,director,,diretor,
512,early,,cedo,
513,position,,posição,
514,player,,jogador,
515,to agree,,concordar,
516,especially,,especialmente,
517,record,,"ficha, registro, disco, relatório",
518,to pick,,"escolher, colher",
519,to wear,,"usar, vestir",
520,paper,,papel,
521,special,,especial,
522,space,,espaço,
523,ground,,chão,
524,form,,forma,
525,to support,,"apoiar, suportar, sustentar",
526,event,,evento,
527,official,,oficial,
528,whose,,de quem,
529,matter,,"matéria, substância",
530,everyone,,todo mundo,
531,center,,centro,
532,couple,,casal,
533,site,,"sítio, lugar, local",
534,to end,,"terminar, acabar",
535,project,,projeto,
536,to hit,,"acertar, atingir, bater, colidir",
537,to base,,basear,
538,activity,,atividade,
539,star,,estrela,
540,table,,"mesa, tabela",
541,need,,necessidade,
542,court,,"quadra, tribunal",
543,to produce,,produzir,
544,to eat,,comer,
545,American,,americano,
546,to teach,,ensinar,
547,oil,,"óleo, petróleo, azeite",
548,half,,metade,
549,situation,,situação,
550,easy,,fácil,
551,cost,,custo,
552,industry,,indústria,
553,figure,,figura,
554,to face,,"enfrentar, encarar",
555,street,,rua,
556,image,,imagem,
557,itself,,se mesmo,
558,phone,,telefone,
559,either,,ou…ou,
560,data,,data,
561,to cover,,cobrir,
562,quite,,bastante,
563,picture,,"foto, retrato, quadro",
564,clear,,claro,
565,practice,,prática,
566,piece,,pedaço,
567,land,,"terra, terreno",
568,recent,,recente,
569,to describe,,descrever,
570,product,,produto,
571,doctor,,médico,
572,wall,,"muro, parede",
573,patient,,paciente,
574,worker,,trabalhador,
575,news,,notícia,
576,test,,"teste, exame",
577,movie,,filme,
578,certain,,certo,
579,north,,norte,
580,love,,amor,
581,personal,,pessoal,
582,open,,aberto,
583,support,,"apoio, suporte",
584,simply,,simplesmente,
585,third,,terceiro,
586,technology,,tecnologia,
587,to catch,,"pegar, capturar",
588,step,,"passo, degrau, fase, etapa",
589,baby,,"neném, bebé",
590,computer,,computador,
591,type,,tipo,
592,attention,,atenção,
593,to draw,,"desenhar, atrair",
594,film,,filme,
595,Republican,,republicano,
596,tree,,árvore,
597,source,,fonte,
598,red,,vermelho,
599,nearly,,"quase, aproximadamente",
600,organization,,organização,
601,to choose,,escolher,
602,to cause,,causar,
603,hair,,cabelo,
604,look,,olhar,
605,to point,,apontar,
606,century,,século,
607,evidence,,"prova, evidência",
608,window,,janela,
609,difficult,,difícil,
610,to listen,,"escutar, ouvir",
611,soon,,"em breve, daqui a pouco",
612,culture,,cultura,
613,billion,,bilhão,
614,chance,,"chance, oportunidade, sorte",
615,brother,,irmão,
616,energy,,energia,
617,period,,período,
618,course,,curso,
619,summer,,verão,
620,less,,menos,
621,to realize,,"dar-se conta, realizar",
622,hundred,,cem,
623,available,,disponível,
624,plant,,planta,
625,likely,,provável,
626,opportunity,,oportunidade,
627,term,,termo,
628,short,,"curto, baixo",
629,letter,,"letra, carta",
630,condition,,condição,
631,choice,,escolha,
632,to place,,"colocar, pôr",
633,single,,"único, solteiro",
634,rule,,regra,
635,daughter,,filha,
636,administration,,administração,
637,south,,sul,
638,husband,,"marido, esposo",
639,Congress,,congresso,
640,floor,,chão,
641,campaign,,campanha,
642,material,,material,
643,population,,população,
644,well,,bem,
645,call,,chamado,
646,economy,,economia,
647,medical,,médico,
648,hospital,,hospital,
649,church,,igreja,
650,to close,,"fechar, encerrar",
651,thousand,,mil,
652,risk,,risco,
653,current,,"atual, corrente",
654,fire,,"fogo, incêndio",
655,future,,futuro,
656,wrong,,errado,
657,to involve,,envolver,
658,defense,,defesa,
659,anyone,,qualquer um,
660,to increase,,aumentar,
661,security,,segurança,
662,bank,,banco,
663,myself,,eu mesmo,
664,certainly,,"com certeza, certamente",
665,west,,oeste,
666,sport,,esporte,
667,board,,"tabuleiro, conselho",
668,to seek,,"procurar, buscar",
669,per,,por,
670,subject,,sujeito,
671,officer,,oficial,
672,private,,"particular, privativo",
673,rest,,descanso,
674,behavior,,comportamento,
675,to deal,,"lidar com, tratar, negociar",
676,performance,,performance,
677,to fight,,"lutar, brigar",
678,to throw,,"jogar, tacar",
679,top,,"topo, pico",
680,quickly,,rapidamente,
681,past,,passado,
682,goal,,"meta, gol",
683,second,,segundo,
684,bed,,cama,
685,order,,ordem,
686,author,,autor,
687,to fill,,"encher, preencher",
688,to represent,,representar,
689,to focus,,enfocar,
690,foreign,,estrangeiro,
691,to drop,,"deixar cair, soltar",
692,to plan,,planejar,
693,blood,,sangue,
694,upon,,em cima,
695,agency,,agência,
696,to push,,empurrar,
697,nature,,natureza,
698,color,,cor,
699,no,,nenhum,
700,recently,,recentemente,
701,store,,loja,
702,to reduce,,reduzir,
703,sound,,som,
704,to note,,"perceber, notar, anotar",
705,fine,,"fino, bom, excelente",
706,before,,antes de,
707,near,,perto,
708,movement,,movimento,
709,page,,página,
710,to enter,,entrar,
711,to share,,compartilhar,
712,than,,do que,
713,common,,comum,
714,poor,,pobre,
715,other,,outro,
716,natural,,natural,
717,race,,"corrida, raça",
718,concern,,preocupação,
719,series,,série,
720,significant,,significativo,
721,similar,,"similar, parecido",
722,hot,,quente,
723,language,,"língua, idioma",
724,each,,cada um,
725,usually,,normalmente,
726,response,,resposta,
727,dead,,morto,
728,to rise,,levantar,
729,animal,,animal,
730,factor,,fator,
731,decade,,década,
732,article,,"artigo, cláusula",
733,to shoot,,atirar,
734,east,,leste,
735,to save,,"salvar, economizar",
736,seven,,sete,
737,artist,,artista,
738,away,,longe,
739,scene,,"cena, cenário",
740,stock,,ação,
741,career,,carreira,
742,despite,,a pesar de,
743,central,,central,
744,eight,,oito,
745,thus,,"assim, deste modo",
746,treatment,,tratamento,
747,beyond,,além de,
748,happy,,feliz,
749,exactly,,exatamente,
750,to protect,,proteger,
751,approach,,abordagem,
752,to lie,,mentir,
753,size,,tamanho,
754,dog,,cachorro,
755,fund,,fundo,
756,serious,,sério,
757,to occur,,acontecer,
758,media,,mídia,
759,ready,,"proto, preparado",
760,sign,,"placa, sinal",
761,thought,,pensamento,
762,list,,lista,
763,individual,,individual,
764,simple,,simples,
